HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l8   | land onbetaalt gelaten, die de Comp.ten

HTR: NOTI01181/NOTI01181000264.xml#r1l9         | belooven en waar voor zij zig ten, deesen
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l9   | belooven en waar voor zij zig ten deesen

HTR: NOTI01181/NOTI01181000264.xml#r1l11        | En verklaardn de Comparanten mits¬
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l11  | En verklaarden de Comparanten mits¬

HTR: NOTI01181/NOTI01181000264.xml#r1l16        | administratie door de voorn. Barend
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l16  | administratie door de voorn.e Barend

HTR: NOTI01181/NOTI01181000264.xml#r1l19        | naamt ten lasten van de voorne Jufvrouw
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l19  | naamt ten lasten van de voorn.e Jufvrouw

HTR: NOTI01181/NOTI01181000264.xml#r1l24        | de Comparanten in tegendeel de voorne.
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l24  | de Comparanten in tegendeel de voorn.e

HTR: NOTI01181/NOTI01181000264.xml#r1l25        | Jufvrouw Maria Steenbergen wedu
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l25  | Jufvrouw Maria Steenbergen wedu¬

HTR: NOTI01181/NOTI01181000265.xml#r2l2         | OP den sesden Julij des
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l2   | OP den Sesden Julij des

HTR: NOTI01181/NOTI01181000265.xml#r2l4         | compareerden voor mij Hermanus
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l4   | Compareerden voor mij Hermanus

HTR: NOTI01181/NOTI01181000265.xml#r2l6         | bij den Hove van Holland geadmit
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l6   | bij den Hove van Holland geadmit¬

HTR: NOTI01181/NOTI01181000265.xml#r2l14        | zijnde de comparanten beijde aan
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l14  | Zijnde de Comparanten beijde aan

HTR: NOTI01181/NOTI01181000265.xml#r2l15        | mij Notaris bekend
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l15  | mij Notaris bekend.

HTR: NOTI01181/NOTI01181000265.xml#r2l16        | En Verklaarden de comparanten bij
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l16  | En Verklaarden de Comparanten bij

HTR: NOTI01181/NOTI01181000265.xml#r2l17        | deesen te constitueeren en magtig te me¬
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l17  | deesen te constitueeren en magtig te ma¬

HTR: NOTI01181/NOTI01181000265.xml#r2l19        | glasemaker, wonende binnen dese stad
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l19  | glasemaker, wonende binnen dese stad,

HTR: NOTI01181/NOTI01181000265.xml#r2l24        | een vierde gedeelde de helftn
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l24  | een vierde gedeelte de helft

HTR: NOTI01181/NOTI01181000265.xml#r2l25        | ven huijsen en
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l25  | elte in de leven huijsen en

HTR: NOTI01181/NOTI01181000265.xml#r2l29        | derselver erven ^ staande en leggende
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l27  | leggende

HTR: NOTI01181/NOTI01181000265.xml#r2l29        | derselver erven ^ staande en leggende
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l28  | derselver erven ^ staande en

HTR: NOTI01181/NOTI01181000265.xml#r2l32        | twede comparant van hunlieder oom Johan
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l31  | twede Comparant van hunlieder oom Johan¬

HTR: NOTI01181/NOTI01181000265.xml#r2l33        | nes van Bronkhorst geervt, de leparatie
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l32  | nes van Bronkhorst geërvt, de reparatien

HTR: NOTI01181/NOTI01181000265.xml#r2l41        | gen, te ontvangen
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l40  | gen, te ontvangene

HTR: NOTI01181/NOTI01181000265.xml#r2l43        | ders door middelen van Rechten tot de
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l43  | ders door middel en van Rechten tot de

HTR: NOTI01181/NOTI01181000265.xml#r2l46        | zijn ter saake of uit hoofde van het
GT : 12788_NOTI01181/NOTI01181000265.xml#r2l46  | zijn ter saake of uit hoofde van Alt

HTR: NOTI01181/NOTI01181000265.xml#r1l1         | No 89
GT : 12788_NOTI01181/NOTI01181000265.xml#r1l1   | No: 89

HTR: NOTI01181/NOTI01181000266.xml#r2l2         | aan de moeder van des Evrste Comparantes
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l2   | aan de moeder van des Eerste Comparants

HTR: NOTI01181/NOTI01181000266.xml#r2l3         | huijsvrouw en van den derde Comparant
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l3   | ed

HTR: NOTI01181/NOTI01181000266.xml#r2l3         | huijsvrouw en van den derde Comparant
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l4   | huijsvrouw en van den der

HTR: NOTI01181/NOTI01181000266.xml#r2l3         | huijsvrouw en van den derde Comparant
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l5   | de comparant

HTR: NOTI01181/NOTI01181000266.xml#r2l5         | weduwe van Albert Bel Jaarlijks uijt
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l7   | weduwe van Albert Bel Jaarlijks uijt¬

HTR: NOTI01181/NOTI01181000266.xml#r2l7         | guldens aan hen Comparanten bovenge¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l9   | guldens aan hen comparanten bovenge¬

HTR: NOTI01181/NOTI01181000266.xml#r2l8         | weder
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l10  | eder

HTR: NOTI01181/NOTI01181000266.xml#r2l9         | melde door de voorn. Johannes van
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l11  | melde voor de vooren Johannes van

HTR: NOTI01181/NOTI01181000266.xml#r2l11        | 10. July des Jaars 1730 mede voor de No¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l13  | 10o. July des Jaars 1730 mede voor de No¬

HTR: NOTI01181/NOTI01181000266.xml#r2l12        | taris Jan Ardinois en getuijgen binnen
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l14  | taris Jan Ardinois en getuigen binnen

HTR: NOTI01181/NOTI01181000266.xml#r2l14        | welk Jaarlijks legaat aan den Comparan¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l16  | welk Jaarlijks legaat aan den comparan¬

HTR: NOTI01181/NOTI01181000266.xml#r2l19        | Beende de comparanten bij desen
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l21  | Bekende de comparanten bij dese

HTR: NOTI01181/NOTI01181000266.xml#r2l20        | insgelijks aan de geconstitueerde het
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l22  | insgelijks aan die geconstitueerde het

HTR: NOTI01181/NOTI01181000266.xml#r2l23        | tueeren met vermogen om sodanig in
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l24  | ma

HTR: NOTI01181/NOTI01181000266.xml#r2l26        | beloven de Comparanten van waarde te
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l28  | beloven de comparanten van waarde te

HTR: NOTI01181/NOTI01181000266.xml#r2l32        | daar voor hun Comparanten persoonen
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l33  | daar voor hun comparanten persoonen

HTR: NOTI01181/NOTI01181000266.xml#r2l33        | en goederen als na Rechten
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l34  | en goederen als na Rechten.

HTR: NOTI01181/NOTI01181000266.xml#r2l34        | Gepasseert binnen Amsteldam in praesen¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l35  | Gepasseert binnen

HTR: NOTI01181/NOTI01181000266.xml#r2l34        | Gepasseert binnen Amsteldam in praesen¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l36  | Amsteldam in praesen

HTR: NOTI01181/NOTI01181000266.xml#r2l38        | an Jacob Bell
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l40  | Jan Jacob Bell

HTR: NOTI01181/NOTI01181000266.xml#r2l39        | Jacobus van Heun
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l41  | Jacob van Heun

HTR: NOTI01181/NOTI01181000266.xml#r2l40        | Pieter Lakkeman
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l42  | Pieter Lakeman

HTR: NOTI01181/NOTI01181000266.xml#r2l41        | H:V: Heel
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l43  | H.V. Heel

HTR: NOTI01181/NOTI01181000266.xml#r2l42        | Notaris.
GT : 12788_NOTI01181/NOTI01181000266.xml#r2l44  | Notaris

HTR: NOTI01181/NOTI01181000266.xml#r1l1         | indien 't nodig zijn mogt in Rechten te
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l1   | indien 't nodige zijn mogt in Rechten te

HTR: NOTI01181/NOTI01181000266.xml#r1l3         | te compareeren, alle termijnen van Re¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l3   | te compareeren, alle termijnen van Re

HTR: NOTI01181/NOTI01181000266.xml#r1l4         | tente observeeren, vonnissen te versoeke
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l4   | ten observeeren , vonnissen te versoeke

HTR: NOTI01181/NOTI01181000266.xml#r1l6         | eijnde te vervolgen van de nadeelige te
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l6   | eijnde te vervolgens van de nadeelige te

HTR: NOTI01181/NOTI01181000266.xml#r1l8         | persoonen, penningen en goederen te doe
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l8   | persoonen, penningen en goederen te do

HTR: NOTI01181/NOTI01181000266.xml#r1l10        | ontslaan, borgen te stellen en de borg¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l10  | ontslaan, borgen te stellen en de borg

HTR: NOTI01181/NOTI01181000266.xml#r1l11        | weder bevrijding te belooven, de boven¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l11  | weder bevrijding te beloonen de boven¬

HTR: NOTI01181/NOTI01181000266.xml#r1l12        | gemelde perceelen voor hen Comparan¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l12  | gemelde perceelen voor hen comparan¬

HTR: NOTI01181/NOTI01181000266.xml#r1l13        | tes gedeelte wanneer deselve of eenig¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l13  | tes gedeelte wanneer deselve of eenige

HTR: NOTI01181/NOTI01181000266.xml#r1l17        | al sulke conditien als de geconstituee¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l17  | als sulke conditien als de geconstituee

HTR: NOTI01181/NOTI01181000266.xml#r1l19        | op te rechten inder Comparanten na
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l19  | op te rechten in der comparanten na¬

HTR: NOTI01181/NOTI01181000266.xml#r1l22        | die tusschen hen comparanten bij de acte
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l22  | die tussen hem comparanten bij de acte

HTR: NOTI01181/NOTI01181000266.xml#r1l25        | ^ van Johhannesvan Bronkhoost
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l24  | ^ van Johannes Bronkhorst nala¬

HTR: NOTI01181/NOTI01181000266.xml#r1l31        | den en seventien stuijvers staande op
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l30  | den en seventien suijvers staande op

HTR: NOTI01181/NOTI01181000266.xml#r1l32        | de naam van Abraham Swichters, wel
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l31  | de naam van Abraham Swichters we

HTR: NOTI01181/NOTI01181000266.xml#r1l33        | ke aan den twede comparant bij de bove¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l32  | ke aan de tweede comparant bij de bov

HTR: NOTI01181/NOTI01181000266.xml#r1l35        | deelt, door den twede Comparant bij ac
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l34  | deelt, voor den twede comparant bij ac

HTR: NOTI01181/NOTI01181000266.xml#r1l37        | Notaris Jan Ardinois en getuijgen bin
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l36  | Notaris Jan Ardinois en getuijgen bi

HTR: NOTI01181/NOTI01181000266.xml#r1l38        | nen dese stad verleeden weder is getra¬
GT : 12788_NOTI01181/NOTI01181000266.xml#r1l37  | nen dese stad verleeden weder is getra

HTR: NOTI01181/NOTI01181000267.xml#r2l3         | seventien hondert vijf en veertig com¬
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l3   | seventien hondert vijf en veertig Com

HTR: NOTI01181/NOTI01181000267.xml#r2l9         | En Verklaarde de Comparant (die
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l9   | En verklaarde de Comparant (die

HTR: NOTI01181/NOTI01181000267.xml#r2l13        | te samen en ieder van hen in't bijsonder
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l13  | te samen en ieder van hen in 't bijsonder

HTR: NOTI01181/NOTI01181000267.xml#r2l14        | omme in alle gevallen soo lang hij
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l14  | omme in alle gevallen, soo lang hij

HTR: NOTI01181/NOTI01181000267.xml#r2l16        | Schipper zal voeren des Comparante
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l16  | schipper zal voeren des Comparants

HTR: NOTI01181/NOTI01181000267.xml#r2l17        | persoon in alle opsichten te repraesen¬
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l17  | persoon in alle opsichten te repraesen

HTR: NOTI01181/NOTI01181000267.xml#r2l35        | zoo eijsschende als verweerende in
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l36  | zoo eijschende als verweerende in

HTR: NOTI01181/NOTI01181000267.xml#r2l37        | Rechters en gerechten waar teneemen
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l38  | Rechters en gerechten waarteneemen

HTR: NOTI01181/NOTI01181000267.xml#r2l38        | zalle termijnen van echten te observeeren
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l39  | alle termijnen van rechten te observeeren

HTR: NOTI01181/NOTI01181000267.xml#r2l39        | in te comparee¬
GT : 12788_NOTI01181/NOTI01181000267.xml#r2l40  | en te Compareeren

HTR: NOTI01181/NOTI01181000267.xml#r1l1         | No: 90.
GT : 12788_NOTI01181/NOTI01181000267.xml#r1l1   | No: 90

HTR: NOTI01181/NOTI01181000267.xml#r2l1         | Trip
GT : 12788_NOTI01181/NOTI01181000267.xml#r1l2   | Gt.

HTR: NOTI01181/NOTI01181000268.xml#r3l6         | Gepasseert binnen Amsteldam in prasentie
GT : 12788_NOTI01181/NOTI01181000268.xml#r2l6   | Gepasseert binnen Amsteldam in præsentie

HTR: NOTI01181/NOTI01181000268.xml#r3l10        | H. M: Hoet
GT : 12788_NOTI01181/NOTI01181000268.xml#r2l10  | H. M. Hoet

HTR: NOTI01181/NOTI01181000268.xml#r3l13        | H:V: Heel
GT : 12788_NOTI01181/NOTI01181000268.xml#r2l13  | H:V:Heel

HTR: NOTI01181/NOTI01181000268.xml#r1l10        | de en andere penningen te stellen de
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l10  | de en andere penningen te stellen, de

HTR: NOTI01181/NOTI01181000268.xml#r1l11        | selve te lichten en de borgen bevrijdin
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l11  | selve te lichten en de borgen bevrijding

HTR: NOTI01181/NOTI01181000268.xml#r1l12        | te beloven, met een iegelijk te reken¬
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l12  | te beloven, met een iegelijk te reken

HTR: NOTI01181/NOTI01181000268.xml#r1l14        | rechten
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l14  | rechte

HTR: NOTI01181/NOTI01181000268.xml#r1l18        | nen en mogen doen, gevende de Comp
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l18  | nen en mogen doen, gevende de Com¬

HTR: NOTI01181/NOTI01181000268.xml#r1l19        | parant bij deesen aan de geconstituee¬
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l19  | parant bij deesen aen de geconstitueer¬

HTR: NOTI01181/NOTI01181000268.xml#r1l23        | mag
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l23  | magt

HTR: NOTI01181/NOTI01181000268.xml#r1l24        | mogen als bij desen aan de geconstitue
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l24  | mogen, als bij desen aan de geconstitue

HTR: NOTI01181/NOTI01181000268.xml#r1l28        | niemant, mogt zijn gesubstitueerte
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l28  | niemant mogt zijn gesubstitueert

HTR: NOTI01181/NOTI01181000268.xml#r1l29        | bij deesen te insgelijks te constituee
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l29  | bij deesen te insgelijks te constituee¬

HTR: NOTI01181/NOTI01181000268.xml#r1l32        | en ieder van hen in't bijsonder om des
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l32  | en ieder van hen in't bijsondeer om des

HTR: NOTI01181/NOTI01181000268.xml#r1l33        | comparants zaken in rechten waar
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l33  | comparants zaken in rechten waar¬

HTR: NOTI01181/NOTI01181000268.xml#r1l37        | dens heeft geauthoriseert en gemal¬
GT : 12788_NOTI01181/NOTI01181000268.xml#r1l37  | dens heeft geauthoriseert en gemag¬

HTR: NOTI01181/NOTI01181000269.xml#r1l1         | Graafland
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l1   | graafland

HTR: NOTI01181/NOTI01181000269.xml#r1l2         | No. 91.
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l2   | N:o 91

HTR: NOTI01181/NOTI01181000269.xml#r1l3         | Gt.
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l3   | G:t

HTR: NOTI01181/NOTI01181000269.xml#r1l5         | des Jaars seventien hondert vijf en veer¬
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l5   | des Jaars Seventien hondert vijf en veer¬

HTR: NOTI01181/NOTI01181000269.xml#r1l14        | Insinuatie en protestatie.
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l14  | Insinuatie en protestatie

HTR: NOTI01181/NOTI01181000269.xml#r1l15        | De E Leonard Deutgen doet u
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l15  | De E Leonard Deutgen doed u

HTR: NOTI01181/NOTI01181000269.xml#r1l20        | op den 11 Junij deses Jaars 1745 zich ter beurse
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l20  | op den 11 Junij deses Jaars 1745 zich ter beurs

HTR: NOTI01181/NOTI01181000269.xml#r1l21        | uijt naam van de Heer Matthijs Oosters heb
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l21  | uijt naam van de Heer Matthijs Oosters heb¬

HTR: NOTI01181/NOTI01181000269.xml#r1l23        | en van u geins. versocht en gevraagt of gij
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l23  | en van u geins.e versocht en gevraagt of gij

HTR: NOTI01181/NOTI01181000269.xml#r1l26        | Agneta gevoerd door schipper J: M: Riedel
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l26  | Agneta gevoerd door Schipper J: M: Riedel

HTR: NOTI01181/NOTI01181000269.xml#r1l27        | gedestineert van hier na Gottenburg en t welke
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l27  | gedestineert van hier na Gottenburg en 't welke

HTR: NOTI01181/NOTI01181000269.xml#r1l28        | dij geinsinueerde
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l28  | gij geinsinueerde

HTR: NOTI01181/NOTI01181000269.xml#r1l29        | door gij geinsinueerde u Heer geinse. is bevragt
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l30  | door gij geinsinueerde u Heer geins.e is bevragt

HTR: NOTI01181/NOTI01181000269.xml#r1l34        | sent pond en waar van de Insinuant terstond
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l35  | sent pond, en waar van de Insinuant terstond

HTR: NOTI01181/NOTI01181000269.xml#r1l36        | kennis gegeven
GT : 12788_NOTI01181/NOTI01181000269.xml#r1l37  | kennis gegeven.

HTR: NOTI01181/NOTI01181000270.xml#r2l2         | op u neemen, en alsoo ^ Insinuant te ont¬
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l2   | op u neemen en alsoo^ Insinuant te ont¬

HTR: NOTI01181/NOTI01181000270.xml#r2l3         | lasten van proceduures en Moeijelijkheeden
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l3   | lasten van proceduures en moeijelijkheeden

HTR: NOTI01181/NOTI01181000270.xml#r2l7         | Protesterende de Insinuant bij weij¬
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l6   | Protesterende de Insinuanten bij weij¬

HTR: NOTI01181/NOTI01181000270.xml#r2l9         | kosten schaden en Interessen als daardoor
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l8   | kosten schaden en interessen als daardoor

HTR: NOTI01181/NOTI01181000270.xml#r2l13        | testeert
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l12  | testeert.

HTR: NOTI01181/NOTI01181000270.xml#r2l15        | de dat hij hoorde en sag en Copie versocht
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l14  | de dat hij hoorde en sag en copie versocht.

HTR: NOTI01181/NOTI01181000270.xml#r2l16        | Geexploicteert binnen Amsteldam
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l15  | Geexploiceert binnen Amsteldam

HTR: NOTI01181/NOTI01181000270.xml#r2l19        | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l18  | H.M. Hoet

HTR: NOTI01181/NOTI01181000270.xml#r2l23        | Notaris.
GT : 12788_NOTI01181/NOTI01181000270.xml#r2l22  | Notaris

HTR: NOTI01181/NOTI01181000270.xml#r1l1         | schip niet zoude kunnen doen in inladen  im¬
GT : 12788_NOTI01181/NOTI01181000270.xml#r1l1   | schip niet zoude kunnen doen in inladen im¬

HTR: NOTI01181/NOTI01181000270.xml#r1l2         | mers niet voor als noch den Insinuant daar va
GT : 12788_NOTI01181/NOTI01181000270.xml#r1l2   | mers niet voor als noch den Insinuanten daar v

HTR: NOTI01181/NOTI01181000270.xml#r1l4         | dag dat deselve Heer Oosters niet kunnende goe¬
GT : 12788_NOTI01181/NOTI01181000270.xml#r1l4   | dag dat deselve Heer Oosters niet kunnende go

HTR: NOTI01181/NOTI01181000270.xml#r1l5         | vinden van het Contract door den Insinuant
GT : 12788_NOTI01181/NOTI01181000270.xml#r1l5   | vinden van het contract den Insinuant

HTR: NOTI01181/NOTI01181000270.xml#r1l6         | als Cargadoor met u Heer geinsinueerde aan
GT : 12788_NOTI01181/NOTI01181000270.xml#r1l6   | als cargadoor met u Heer geinsinueerde aan

HTR: NOTI01181/NOTI01181000270.xml#r1l8         | ant gedagvaard voor d' Ed: Heeren Commissare
GT : 12788_NOTI01181/NOTI01181000270.xml#r1l8   | ant gedagvaard voor d' Ed: Heeren Commissar

HTR: NOTI01181/NOTI01181000270.xml#r1l10        | bij vonnis van welgemelde Heeren Commissar
